TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO;ESPECIAL
ABATIBLE;05;2700;ROBLE;C.RB;1100;717,445;959,787;785,528;785,528;959,787;1055,766
ABATIBLE;05;2500;ROBLE;C.RB;600;600,183;711,333;630,863;630,863;711,333;782,466
ABATIBLE;05;2500;ROBLE;C.RB;800;615,552;745,227;651,345;651,345;745,227;819,75
ABATIBLE;05;2500;ROBLE;C.RB;700;630,92;779,12;671,827;671,827;779,12;857,032
ABATIBLE;05;2500;ROBLE;C.RB;900;646,289;813,014;692,309;692,309;813,014;894,315
ABATIBLE;05;2500;ROBLE;C.RB;1000;661,657;846,907;712,791;712,791;846,907;931,598
ABATIBLE;05;2500;ROBLE;C.RB;1100;697,06;921,451;760,099;760,099;921,451;1013,596
ABATIBLE;05;2700;NOGAL;C.NG;600;647,67;779,857;684,806;684,806;779,857;857,843
ABATIBLE;05;2700;NOGAL;C.NG;800;665,397;819,614;708,722;708,722;819,614;901,575
ABATIBLE;05;2700;NOGAL;C.NG;700;683,123;859,372;732,638;732,638;859,372;945,309
ABATIBLE;05;2700;NOGAL;C.NG;900;700,85;899,13;756,554;756,554;899,13;989,043
ABATIBLE;05;2700;NOGAL;C.NG;1000;718,577;938,888;780,47;780,47;938,888;1032,777
ABATIBLE;05;2700;NOGAL;C.NG;1100;736,303;978,645;804,385;804,385;978,645;1076,51
ABATIBLE;05;2500;NOGAL;C.NG;600;615,741;726,891;646,421;646,421;726,891;799,58
ABATIBLE;05;2500;NOGAL;C.NG;800;631,594;761,269;667,387;667,387;761,269;837,396
ABATIBLE;05;2500;NOGAL;C.NG;700;647,447;795,647;688,354;688,354;795,647;875,212
ABATIBLE;05;2500;NOGAL;C.NG;900;663,301;830,026;709,321;709,321;830,026;913,029
ABATIBLE;05;2500;NOGAL;C.NG;1000;679,154;864,404;730,287;730,287;864,404;950,844
ABATIBLE;05;2500;NOGAL;C.NG;1100;715,041;939,432;778,08;778,08;939,432;1033,375
ABATIBLE;05;2700;ESPECIAL;ESP;600;639,947;798,57;684,509;684,509;798,57;878,427
ABATIBLE;05;2700;ESPECIAL;ESP;800;659,192;844,253;711,182;711,182;844,253;928,678
ABATIBLE;05;2700;ESPECIAL;ESP;700;678,438;889,936;737,855;737,855;889,936;978,93
ABATIBLE;05;2700;ESPECIAL;ESP;900;697,682;935,618;764,527;764,527;935,618;1029,18
ABATIBLE;05;2700;ESPECIAL;ESP;1000;716,928;981,301;791,2;791,2;981,301;1079,431
ABATIBLE;05;2700;ESPECIAL;ESP;1100;736,174;982,981;817,873;817,873;982,981;1081,279
ABATIBLE;05;2500;ESPECIAL;ESP;600;605,576;738,956;642,392;642,392;738,956;812,852
ABATIBLE;05;2500;ESPECIAL;ESP;800;622,574;778,184;665,526;665,526;778,184;856,002
ABATIBLE;05;2500;ESPECIAL;ESP;700;639,572;817,412;688,66;688,66;817,412;899,153
ABATIBLE;05;2500;ESPECIAL;ESP;900;656,569;856,639;711,793;711,793;856,639;942,303
ABATIBLE;05;2500;ESPECIAL;ESP;1000;673,567;895,867;734,927;734,927;895,867;985,454
ABATIBLE;05;2500;ESPECIAL;ESP;1100;714,606;983,874;790,253;790,253;983,874;1082,261
