TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO
ABATIBLEMAG;5;2700;CORTEN;L.C;900;610,472;818,666;668,961;668,961;818,666
ABATIBLEMAG;5;2700;CORTEN;L.C;1000;627,312;858,639;692,3;692,3;858,639
ABATIBLEMAG;5;2700;CORTEN;L.C;1100;644,152;860,109;715,639;715,639;860,109
ABATIBLEMAG;5;2500;CORTEN;L.C;600;529,879;646,587;562,093;562,093;646,587
ABATIBLEMAG;5;2500;CORTEN;L.C;700;544,753;680,911;582,335;582,335;680,911
ABATIBLEMAG;5;2500;CORTEN;L.C;800;559,626;715,236;602,577;602,577;715,236
ABATIBLEMAG;5;2500;CORTEN;L.C;900;574,498;749,559;622,819;622,819;749,559
ABATIBLEMAG;5;2500;CORTEN;L.C;1000;589,371;783,884;643,061;643,061;783,884
ABATIBLEMAG;5;2500;CORTEN;L.C;1100;625,28;860,89;691,471;691,471;860,89
ABATIBLEMAG;5;2700;ROBLE;C.RB;600;662,798;801,594;701,791;701,791;801,594
ABATIBLEMAG;5;2700;ROBLE;C.RB;700;680,902;842,831;726,393;726,393;842,831
ABATIBLEMAG;5;2700;ROBLE;C.RB;800;699,006;884,067;750,996;750,996;884,067
ABATIBLEMAG;5;2700;ROBLE;C.RB;900;717,11;925,304;775,598;775,598;925,304
ABATIBLEMAG;5;2700;ROBLE;C.RB;1000;735,213;966,54;800,201;800,201;966,54
ABATIBLEMAG;5;2700;ROBLE;C.RB;1100;753,317;1007,776;824,804;824,804;1007,776
ABATIBLEMAG;5;2500;ROBLE;C.RB;600;630,192;746,9;662,406;662,406;746,9
ABATIBLEMAG;5;2500;ROBLE;C.RB;700;646,33;782,488;683,912;683,912;782,488
ABATIBLEMAG;5;2500;ROBLE;C.RB;800;662,466;818,076;705,418;705,418;818,076
ABATIBLEMAG;5;2500;ROBLE;C.RB;900;678,603;853,665;726,924;726,924;853,665
ABATIBLEMAG;5;2500;ROBLE;C.RB;1000;694,74;889,252;748,431;748,431;889,252
ABATIBLEMAG;5;2500;ROBLE;C.RB;1100;731,913;967,524;798,104;798,104;967,524
ABATIBLEMAG;5;2700;NOGAL;C.NG;600;680,054;818,85;719,046;719,046;818,85
ABATIBLEMAG;5;2700;NOGAL;C.NG;700;698,667;860,595;744,158;744,158;860,595
ABATIBLEMAG;5;2700;NOGAL;C.NG;800;717,279;902,341;769,27;769,27;902,341
ABATIBLEMAG;5;2700;NOGAL;C.NG;900;735,893;944,087;794,382;794,382;944,087
ABATIBLEMAG;5;2700;NOGAL;C.NG;1000;754,506;985,832;819,494;819,494;985,832
ABATIBLEMAG;5;2700;NOGAL;C.NG;1100;773,118;1027,577;844,604;844,604;1027,577
ABATIBLEMAG;5;2500;NOGAL;C.NG;600;646,528;763,236;678,742;678,742;763,236
ABATIBLEMAG;5;2500;NOGAL;C.NG;700;663,174;799,332;700,756;700,756;799,332
ABATIBLEMAG;5;2500;NOGAL;C.NG;800;679,819;835,429;722,772;722,772;835,429
ABATIBLEMAG;5;2500;NOGAL;C.NG;900;696,466;871,527;744,787;744,787;871,527
ABATIBLEMAG;5;2500;NOGAL;C.NG;1000;713,112;907,624;766,801;766,801;907,624
ABATIBLEMAG;5;2500;NOGAL;C.NG;1100;750,793;986,404;816,984;816,984;986,404
ABATIBLEMAG;5;2700;ESPECIAL;ESP;600;615,949;768,624;658,839;658,839;768,624
ABATIBLEMAG;5;2700;ESPECIAL;ESP;700;634,473;812,593;684,513;684,513;812,593
ABATIBLEMAG;5;2700;ESPECIAL;ESP;800;652,997;856,563;710,185;710,185;856,563
ABATIBLEMAG;5;2700;ESPECIAL;ESP;900;671,519;900,533;735,858;735,858;900,533
ABATIBLEMAG;5;2700;ESPECIAL;ESP;1000;690,043;944,502;761,529;761,529;944,502
ABATIBLEMAG;5;2700;ESPECIAL;ESP;1100;708,567;946,119;787,203;787,203;946,119
ABATIBLEMAG;5;2500;ESPECIAL;ESP;600;582,868;711,246;618,303;618,303;711,246
